,device_id,gender,age,group,phone_brand,device_model
68,-1246353335731124816,M,32,M32-38,三星,Galaxy Note 2
69,-6552729385743211,M,28,M27-28,索尼,Xperia Z2
70,5938577683122528158,M,48,M39+,vivo,Y11IW
71,-3235628390898753137,M,44,M39+,小米,MI 3
72,-4144208717804687615,M,44,M39+,小米,MI 3
73,8844957623159520450,M,28,M27-28,三星,Galaxy S3
74,4156261305872406545,M,21,M22-,小米,MI 5
75,-6785797459639810711,M,28,M27-28,小米,MI 2
76,-8080952034040064218,F,44,F43+,OPPO,R817
77,6354951364862886829,F,44,F43+,联想,乐檬K3 Note
78,-7789505157081731608,M,25,M23-26,HTC,Desire 826
79,8240579676061663826,M,42,M39+,华为,B199
80,5439866249778803748,M,35,M32-38,小米,红米Note2
81,-8140024683963050427,M,38,M32-38,小米,红米
82,-360168846769617446,M,38,M32-38,小米,红米
83,4049342567374065020,M,29,M29-31,三星,Galaxy Note 3
84,5660846220747791709,F,64,F43+,酷派,大神F1Plus
85,2346793034696706898,M,28,M27-28,小米,MI 2S
86,-4924030293291439654,M,42,M39+,三星,Galaxy Mega 6.3
87,1676196645503737870,M,42,M39+,三星,Galaxy Mega 6.3
88,4922799967163614958,M,24,M23-26,小米,MI 3
89,-6571452454273901516,M,46,M39+,联想,乐檬K3 Note
90,-2056729718209154009,M,32,M32-38,摩托罗拉,XT928
91,404958689637790744,M,44,M39+,三星,Galaxy Note 2
92,6895504244645409122,M,44,M39+,三星,Galaxy Note 3 Lite
93,-7882183570062087941,M,24,M23-26,vivo,X6 Plus D
94,5446913796434345063,F,46,F43+,华为,荣耀畅玩4
95,-3859751359584472885,M,30,M29-31,HTC,One
96,5662094349477792975,F,21,F23-,魅族,魅蓝Note 2
97,-4650666927489443566,F,21,F23-,魅族,魅蓝Note 2
98,3804056002627416258,M,29,M29-31,小米,MI 3
99,-8266281880829904174,M,29,M29-31,小米,MI 3
100,5973319239886062800,F,28,F27-28,魅族,魅蓝NOTE
101,202462323314332621,F,28,F27-28,魅族,魅蓝NOTE
102,7326636766251173655,M,27,M27-28,三星,Galaxy S3
103,-4144445179725470192,M,21,M22-,小米,MI 1S
104,8907764229603533579,F,23,F23-,华为,荣耀3X
105,-5261054643656080753,F,23,F23-,华为,荣耀3X
106,3819716873588642183,F,23,F23-,华为,荣耀3X
107,4650021665055865662,M,20,M22-,华为,荣耀3X
108,-5441393164079058849,F,34,F33-42,三星,Galaxy Note 2
109,-8582139297114165642,F,25,F24-26,三星,Galaxy S4
110,7761134629352961054,M,21,M22-,索尼,Xperia Z
111,6927671656924395665,M,26,M23-26,OPPO,Find 7
112,5984369821078450685,M,26,M23-26,OPPO,Find 7
113,2959524852145775517,M,30,M29-31,HTC,Butterfly
114,-2114716321141097556,M,30,M29-31,华为,荣耀6
115,699478504411407472,M,27,M27-28,华为,Mate 7
116,-1872001393673636989,F,26,F24-26,华硕,ZenFone 2
117,-4872982505937593114,M,39,M39+,华为,荣耀6 Plus
118,-4430857349056469253,F,20,F23-,OPPO,R831T
119,-5340398384027830118,F,20,F23-,OPPO,R831T
120,1704840088089510706,M,24,M23-26,小米,MI 1S
121,-4246359349357769983,F,28,F27-28,华为,Ascend P6
122,-8165550889984892199,F,28,F27-28,华为,荣耀3C
123,4297455138616652485,M,29,M29-31,华为,荣耀畅玩4X
124,-1747655920783302206,M,27,M27-28,小米,MI 2S
125,2275434704754261644,M,24,M23-26,魅族,MX3
126,3752341244715056358,M,41,M39+,努比亚,Z7 Max
127,-754365920636902161,F,25,F24-26,三星,Galaxy Note 3
128,-5638884600299366389,M,28,M27-28,酷派,F2
129,4816687632811889210,F,31,F29-32,三星,Galaxy Note 3
130,593669313143296408,F,31,F29-32,三星,Galaxy Note 3
131,248228453883119456,F,28,F27-28,小米,MI 3
132,8561987004157629214,M,30,M29-31,魅族,魅蓝NOTE
133,-448645680703615976,M,31,M29-31,三星,Galaxy Grand 2
134,-8887145707214349266,F,28,F27-28,小米,MI 4
135,-7154614355022595143,F,29,F29-32,小米,MI 3
136,-5352494765561872354,F,29,F29-32,小米,MI 3
137,6203757811505041868,F,23,F23-,OPPO,R833T
138,8213642428559590445,F,36,F33-42,魅族,MX3
139,-8018890275127066945,M,24,M23-26,魅族,魅蓝NOTE
140,7222366654900852519,F,22,F23-,OPPO,U705T
141,6123790560434642813,M,38,M32-38,三星,Galaxy Note 3
142,8369299031756452885,F,36,F33-42,小米,红米note
143,-7861418408615064463,F,23,F23-,三星,Galaxy S6 Edge+
144,9146497636646056842,M,35,M32-38,金立,S7
145,-2489556190686427591,M,35,M32-38,LG,Nexus 5
146,-3274254800053988869,M,33,M32-38,索尼,Xperia Z2
147,-8344622686419295900,M,33,M32-38,索尼,Xperia Z2
148,-7464543035045993775,M,33,M32-38,索尼,Xperia Z2
149,-2999736920417270580,F,22,F23-,OPPO,Find 5
150,3190702475320666496,M,29,M29-31,华为,荣耀畅玩4X
151,6709821453224441026,M,38,M32-38,小米,MI 2C
152,6021983857045701513,F,27,F27-28,三星,Galaxy Note 2
153,-6494821234293367565,M,37,M32-38,酷派,大观4
154,8749724299667578438,M,34,M32-38,努比亚,Z9 mini
155,-3113143023563671753,M,37,M32-38,联想,A390
156,-5028220390242257416,F,27,F27-28,华为,Mate 7
157,-3794473641159391327,F,34,F33-42,华为,MT2-C00
158,3141753394038535319,M,41,M39+,三星,Galaxy Note 3
159,-4917609465027922615,M,21,M22-,魅族,魅蓝NOTE
160,-1516688507910543815,F,43,F43+,华为,麦芒3
161,4142956234059879708,F,33,F33-42,三星,Galaxy Note 2
162,-4917418725007279484,F,30,F29-32,三星,Galaxy Mega Plus
163,-7516440352534368031,M,31,M29-31,三星,Galaxy Note 3
164,6439649945388461116,M,28,M27-28,联想,A708t
165,-7348867500610951647,M,31,M29-31,三星,Galaxy Premier
166,-8163914028422841035,M,31,M29-31,华为,G610S
167,1603640831768213530,M,28,M27-28,华为,荣耀3X
168,-8003284722005509153,M,28,M27-28,华为,荣耀3X
169,-5203038592600087183,M,32,M32-38,联想,联想黄金斗士S8
170,-4810626615146220634,M,32,M32-38,联想,联想黄金斗士S8
171,8862410784192965428,F,36,F33-42,三星,Galaxy Grand 2
172,2939637043564785302,F,46,F43+,华为,MT1-U06
173,8753601250612921480,F,51,F43+,三星,Galaxy Note 2
174,-5116656739499156887,F,51,F43+,三星,Galaxy Note 2
175,-7646353414568593628,M,30,M29-31,三星,Galaxy S3
176,-5189881483734033534,M,46,M39+,华为,G610T
177,-4996365611575224625,M,46,M39+,华为,G610T
178,-6711641544479668924,M,34,M32-38,华为,Ascend P8
179,6206722327442379463,F,31,F29-32,华为,Ascend P6
180,3493988831547441804,M,32,M32-38,华为,荣耀3C
181,4366005122372201003,M,24,M23-26,华为,G610T
182,1386963267590573431,M,24,M23-26,华为,G610T
183,-6330378243113796645,M,34,M32-38,华为,Mate 7
184,-7865367115690889902,M,38,M32-38,酷派,大神F1
185,-1858006844990046411,M,31,M29-31,小米,MI 3
186,-3228486232941564156,F,28,F27-28,三星,Galaxy Note 3
187,-5602557068543221619,F,28,F27-28,三星,Galaxy Note 3
188,-1451022929123789871,F,28,F27-28,三星,Galaxy Note 3
189,7790659424525077194,F,28,F27-28,三星,Galaxy Note 3
190,8920285886738674998,M,28,M27-28,三星,Galaxy S4
191,-4852607865204248032,M,31,M29-31,小米,红米note
192,-2426517319208539667,M,31,M29-31,华为,Ascend G700T
193,-8249736197215467956,M,41,M39+,华为,Ascend P7
194,2270921318416256658,M,25,M23-26,魅族,MX5
195,-1319995297521489561,M,31,M29-31,小米,MI 3
196,9138019064415706007,F,36,F33-42,华为,荣耀畅玩4X
197,-7319671561866655769,F,36,F33-42,小米,小米note
198,2978253634008558593,M,38,M32-38,LG,P880
199,8061585136093547923,M,38,M32-38,LG,P880
200,-8545729738118500183,M,26,M23-26,LG,Nexus 5
201,1474139374992166898,M,22,M22-,华为,Ascend G700T
202,1601488851299080757,M,33,M32-38,索尼,Xperia Z2
203,8655869457573847114,M,33,M32-38,三星,Galaxy S6 Edge
204,3611992091268251668,F,31,F29-32,魅族,MX4
205,4192900550916502009,M,27,M27-28,华为,荣耀畅玩4X
206,7085696727020395428,M,29,M29-31,华为,荣耀7
207,-7040791784866622265,M,39,M39+,华为,Mate 7
208,4329078646062358068,M,35,M32-38,华为,荣耀3X畅玩版
209,3456872842738035793,M,34,M32-38,小米,红米
210,-2966512100134318742,F,30,F29-32,华为,荣耀3X畅玩版
211,2040535522516268215,F,23,F23-,小米,MI 2
212,-3310045835362138089,F,32,F29-32,魅族,MX3
213,-4699662670867136082,F,46,F43+,小米,MI 2
214,-7548291590301750136,M,33,M32-38,华为,荣耀3C
215,-7963397998932390299,M,49,M39+,华为,Mate 7
216,-7082232536999173876,M,36,M32-38,华为,Ascend P7
217,-6242893361006209354,F,32,F29-32,三星,Galaxy Note 3
218,-2415127400609093036,M,27,M27-28,一加,One
219,2894174233476843291,M,21,M22-,小米,MI 3
220,2977628559549884847,M,32,M32-38,小米,MI 2S
221,-2657430017797696536,M,32,M32-38,小米,MI 2S
222,4497817510933031170,M,32,M32-38,华为,Mate 2
223,2460194575250181595,M,53,M39+,华为,荣耀3C
224,-5872355609156227199,F,39,F33-42,三星,Galaxy Mega 5.8
225,8069018087348622619,M,53,M39+,vivo,Xplay
226,4948898765850983971,M,53,M39+,vivo,Xplay
227,3147394884766951836,M,53,M39+,vivo,Xplay
228,80935662153622052,M,53,M39+,vivo,Xplay
229,-7945392883263043020,M,59,M39+,小米,红米note
230,7021855019699124523,F,25,F24-26,OPPO,N1 Mini
231,-766118996225706089,F,45,F43+,OPPO,R7
232,-900650310696232044,F,30,F29-32,小米,MI 2S
233,-8762995520315894664,M,28,M27-28,OPPO,R809T
234,5421267314514963969,M,28,M27-28,OPPO,R809T
235,-529046212852150867,M,28,M27-28,OPPO,R809T
236,-1895509578144570493,M,31,M29-31,小米,MI 4
237,-2478156885124026620,F,24,F24-26,联想,S850t
238,-7279624854596091363,M,42,M39+,酷派,大神F1
239,5692610091528369777,M,48,M39+,三星,Galaxy S6
240,6562806239947577010,M,50,M39+,小米,红米note
241,-7306135389406963510,M,43,M39+,华为,荣耀3C
242,5702872234734716353,M,32,M32-38,金立,E6
243,6488610263167172153,M,46,M39+,OPPO,R7s
244,-3529774277648147974,M,38,M32-38,小米,MI 4
245,-6000733973296812644,M,24,M23-26,小米,MI 4
246,2350979402202438478,M,47,M39+,酷派,5892
247,-621174912844602038,M,34,M32-38,三星,Galaxy S3
248,-4153865198013987891,M,70,M39+,华为,荣耀7
249,9219479903879163716,F,27,F27-28,三星,Galaxy Note 3
250,-2389013266016611875,M,27,M27-28,一加,One
251,6565337312089151336,F,32,F29-32,华为,Ascend P6
252,6281195034868006293,F,39,F33-42,联想,S898t
253,-6065952695936634687,M,21,M22-,酷派,F2
254,6391503609295653806,F,24,F24-26,魅族,MX4
255,-3227288379325915241,M,35,M32-38,中兴,U960E
256,9123392963738377798,M,32,M32-38,小米,红米1S
257,-1938435110960608198,M,21,M22-,小米,MI 2S
258,5636743222462110847,M,27,M27-28,小米,红米note
259,1540134249071138179,F,67,F43+,三星,Galaxy Win Pro
260,2844534599979001280,M,33,M32-38,小米,MI 3
261,6327103640181623607,M,30,M29-31,OPPO,Find 7
262,7507270603885968883,M,48,M39+,三星,Galaxy S3
263,-565124306076115432,M,48,M39+,三星,Galaxy S3
264,4419526128131778535,F,44,F43+,三星,Galaxy S3
265,-5284404864046190914,F,44,F43+,三星,Galaxy S3
266,2060749851566670252,F,44,F43+,三星,Galaxy S3
267,-8593265039555205241,M,34,M32-38,小米,MI 2
268,-6141801790803850097,F,36,F33-42,魅族,MX2
269,-6492462980844783230,M,24,M23-26,vivo,Y51
270,6775652294837141141,F,24,F24-26,小米,红米note
271,4258636597181710806,F,30,F29-32,华为,Ascend P7
272,3235635318498361849,M,32,M32-38,OPPO,R831T
273,3163787231116816284,M,33,M32-38,华为,荣耀6
274,2824416853940964538,M,19,M22-,华为,G520-T10
275,-4249929128118593776,M,37,M32-38,金立,S7
276,6783516722606734308,F,29,F29-32,酷比魔方,U51GT-W
277,-2777441777805531461,F,29,F29-32,酷比魔方,TALK 9X
278,-5693154089237308179,F,29,F29-32,酷比魔方,U51GT-W
279,-225262823313738339,F,29,F29-32,酷比魔方,TALK 9X
280,2724015352885630840,F,29,F29-32,酷比魔方,TALK 9X
281,-8448590394900141907,M,27,M27-28,小米,MI 2S
282,338283462287728873,M,26,M23-26,华为,荣耀3X
283,4704542779027368284,M,33,M32-38,华为,荣耀3C
284,1975516998960925196,F,30,F29-32,小米,MI 3
285,7116779436642135828,M,29,M29-31,小米,MI 2S
286,8543316339499766821,F,33,F33-42,HTC,608t
287,6823319585575058469,M,50,M39+,三星,Galaxy S5
288,583157140721431142,F,34,F33-42,三星,Galaxy Grand
289,72999436528877253,F,34,F33-42,三星,Galaxy Grand
290,7244527048146468873,F,31,F29-32,天语,Touch 3
291,-7799207332505443834,M,31,M29-31,酷派,大神X7
292,-4555256352171659738,F,22,F23-,魅族,MX2
293,9022373770725490123,F,22,F23-,魅族,MX2
294,1714287570154592293,F,48,F43+,华为,荣耀畅玩4
295,-2141028849447517652,M,52,M39+,小米,红米note
296,-3007290059075922008,F,31,F29-32,小米,MI 2S
297,6677898008001741134,F,31,F29-32,小米,MI 2S
298,2130490974990662039,M,25,M23-26,小米,MI 2
299,-1791818818985507554,M,25,M23-26,小米,MI 2
300,8724849398259744677,F,27,F27-28,酷派,大神F1
301,-2135911353025150071,M,26,M23-26,vivo,Y27
302,-5977779196775749873,M,41,M39+,小米,红米note
303,-9134556132023507861,F,29,F29-32,华为,荣耀6 Plus
304,-49730763913378432,M,31,M29-31,联想,K860i
305,1459080085082043728,M,31,M29-31,联想,K860i
306,7050857104490950917,M,34,M32-38,华为,荣耀畅玩4C
307,-5401753062424811373,M,51,M39+,酷派,8720L
308,3604511296492842086,M,32,M32-38,华为,荣耀3X
309,-3226520822719883647,M,27,M27-28,小米,红米note
310,-2094691511186450567,M,22,M22-,努比亚,Z5S Mini
311,-4466935442609903897,M,32,M32-38,华为,荣耀3C
312,-6785716032312317966,M,38,M32-38,华为,Mate 2
313,3500307892205027190,F,33,F33-42,小米,红米note
314,-1117454837751951991,M,35,M32-38,华为,麦芒4
315,8118936935913363277,M,25,M23-26,HTC,One max
316,-1357401245479679056,F,39,F33-42,OPPO,R831T
317,-318708851494203604,F,38,F33-42,小米,红米note
318,7610335843466648867,M,24,M23-26,努比亚,Z5S Mini
319,2320542621284956663,M,24,M23-26,小米,MI 3
320,6348079742918185023,M,24,M23-26,小米,MI 3
321,1444928900010815808,M,39,M39+,华为,荣耀畅玩4X
322,3744909594455282523,M,46,M39+,小米,红米
323,5255430446391714185,M,27,M27-28,华为,U9508
324,-7650841846815498584,M,26,M23-26,小米,MI 2S
325,-6797960682712450133,M,30,M29-31,vivo,Xplay3S
326,-8146966056838942606,M,25,M23-26,三星,Galaxy Note 3
327,-9153245537488288364,M,25,M23-26,小米,红米note增强版
328,-360233945138979577,F,39,F33-42,小米,MI 4
329,1663389245555042663,M,27,M27-28,OPPO,X907
330,5805575799056444427,M,42,M39+,华为,荣耀6
331,6448757979883417999,M,36,M32-38,华为,Ascend G7
332,-954680535608637556,F,24,F24-26,OPPO,R817T
333,3654345234677910057,F,24,F24-26,OPPO,R817T
334,7562411939803512882,F,45,F43+,小米,MI 4
335,-2874573589030714776,F,26,F24-26,vivo,X5M
336,-6652140857336427673,M,31,M29-31,华为,荣耀6
337,-3174514444476368200,F,29,F29-32,华为,荣耀3X
338,8972321560616453482,M,35,M32-38,小米,红米note
339,-4935335315811963318,M,35,M32-38,小米,MI 4
340,8276999935602524746,M,39,M39+,华为,荣耀6
341,3402994260166624775,F,32,F29-32,酷派,大神F1
342,5108142823291112751,M,45,M39+,vivo,Y913
343,3471451329225031495,M,31,M29-31,魅族,MX3
344,-6791581020624214971,F,29,F29-32,三星,Galaxy Note 2
345,-2094586929577583000,M,29,M29-31,三星,Galaxy S3
346,-2683545177557247024,F,47,F43+,vivo,X710L
347,-4214293157750794619,M,29,M29-31,魅族,魅蓝NOTE
348,1459738584733677563,M,29,M29-31,小米,MI 3
349,1469006017306955518,M,24,M23-26,小米,红米
350,5297854804165140682,F,45,F43+,三星,Galaxy Note 3
351,7231270196225939131,M,22,M22-,小米,MI 2S
352,700830215931679317,M,25,M23-26,三星,Galaxy Note 3
353,-637891494492896017,M,25,M23-26,三星,Galaxy Note 3
354,8668918402869143275,F,28,F27-28,LG,G2
355,1888521065893978058,F,28,F27-28,LG,G2
356,2825141601023672167,F,42,F33-42,华为,Mate 7
357,4449470138586525722,F,30,F29-32,三星,Galaxy S3
358,-8366131750644256209,M,22,M22-,酷派,大神F1Plus
359,-3534551426935880265,F,47,F43+,小米,红米note增强版
360,1502461605760473195,F,44,F43+,小米,MI 2S
361,-4771881468336909132,M,40,M39+,三星,Galaxy Grand DUOS
362,-5685117998885564353,M,36,M32-38,酷派,8715
363,8161044391542216225,M,52,M39+,中兴,U968
364,-4198791070540130017,M,37,M32-38,小米,MI 2A
365,-8475312114246077271,M,37,M32-38,小米,MI 2A
366,1319324274909532362,F,29,F29-32,魅族,MX3
367,-1177635519148501584,F,29,F29-32,魅族,MX3
368,4189762977638537239,F,29,F29-32,魅族,MX5
369,-3077937920672001811,F,28,F27-28,vivo,X5L
370,-3244096424715237105,F,28,F27-28,vivo,X5L
371,-4671788193261470496,F,28,F27-28,三星,Galaxy Note 2
372,113979950782839877,M,30,M29-31,华为,C8818
373,503143391156241086,M,30,M29-31,华为,Ascend P7
374,-6042908553950254235,M,27,M27-28,华为,荣耀6
375,-345871495580169903,M,35,M32-38,华为,Ascend P7
376,9106723912388896801,M,29,M29-31,三星,Galaxy Note 4
377,7284031010300954848,F,37,F33-42,华为,G610T
378,4032612108650097762,M,32,M32-38,魅族,MX4
379,8352592309255706786,M,34,M32-38,联想,S720
380,7705384213380232481,M,33,M32-38,三星,Galaxy Note 3
381,1123870157669170491,M,27,M27-28,华为,荣耀4A
382,7921733448240571356,M,42,M39+,小米,MI 2S
383,2399914927947537397,M,42,M39+,小米,MI 2S
384,6277401130315436930,M,26,M23-26,魅族,MX2
385,5441095450799834215,M,30,M29-31,小米,红米note
386,-4005849076109412284,M,63,M39+,魅族,MX2
387,-179790220800402751,M,26,M23-26,中兴,Blade S6
388,7866598770427892860,M,35,M32-38,华为,G510
389,-5493563917628184466,M,29,M29-31,三星,Galaxy Mega 5.8
390,9203006693435653275,M,27,M27-28,努比亚,My 布拉格
391,2355041056604318522,M,38,M32-38,酷派,大神F1
392,1411171847723420780,M,25,M23-26,华为,荣耀7
393,-6985934243613826863,M,34,M32-38,三星,Galaxy Note 4
394,7352701797930096128,F,27,F27-28,索尼,Xperia Z
395,8848742706511928763,M,30,M29-31,华为,Mate 8
396,-6583823906225667083,M,21,M22-,魅族,MX3
397,-7771398025617818409,M,21,M22-,魅族,MX3
398,-7691879765552453435,M,35,M32-38,索尼,Xperia Z
399,2464684863257435773,M,35,M32-38,华为,荣耀6
400,6604280119591140661,M,42,M39+,小米,小米4C
401,-20667435396379759,M,30,M29-31,三星,Galaxy Premier
402,5581064628061795937,M,29,M29-31,华为,Mate 7
403,-8587610512543135636,F,27,F27-28,vivo,X710L
404,5413704986152654312,M,45,M39+,联想,A3900
405,3504563730603386282,F,60,F43+,索尼,Xperia C3
406,6863112459383289362,M,33,M32-38,小米,红米note
407,3675909796369127445,M,33,M32-38,OPPO,3007
408,-5317745724179407738,M,37,M32-38,三星,Galaxy Note 2
409,6423288831466633660,M,27,M27-28,三星,Galaxy Grand Prime
410,8312667491634467650,M,26,M23-26,小米,MI 2S
411,-8164663270002147627,F,34,F33-42,华为,Ascend P8
412,-1759997501338681850,M,26,M23-26,小米,MI 4
413,3036600127070433664,M,38,M32-38,酷派,锋尚Pro
414,3603255247253715956,F,42,F33-42,小米,红米note
415,-6294981216321531814,F,48,F43+,联想,联想黄金斗士S8
416,-167571000635525578,M,39,M39+,小米,MI 2
417,-1045655858343636006,F,27,F27-28,魅族,MX4 Pro
418,1255915588387999803,M,47,M39+,三星,Galaxy Note 2
419,-9211636527106625314,M,31,M29-31,华为,荣耀6 plus
420,6140506024248427109,F,22,F23-,华为,Ascend P6
421,3679272092861009086,M,29,M29-31,小米,MI 3
422,1187259603731284031,M,29,M29-31,小米,MI 3
423,-655444116637802254,M,47,M39+,小米,红米Note2
424,2510851418746740937,M,36,M32-38,小米,红米Note2
425,-7702849433553367406,M,24,M23-26,小米,红米note
426,-7344170352548055641,M,24,M23-26,小米,MI 3
427,-1176968711259010606,M,29,M29-31,魅族,MX2
428,6427638870670310680,M,20,M22-,小米,MI 2S
429,-4277494943660351916,M,47,M39+,小米,MI 3
430,-2213794781340645248,F,33,F33-42,酷派,F2
431,5112375494822102110,M,46,M39+,三星,Galaxy Grand 2
432,-4597930075539490849,M,46,M39+,三星,Galaxy Grand 2
433,-2176202895717029268,M,30,M29-31,小米,红米Note2
434,-4837437557348002889,M,35,M32-38,三星,Galaxy S5
435,678054189899995599,M,35,M32-38,三星,Galaxy S5
436,3634584596342582895,M,27,M27-28,魅族,MX4
437,6242045993734232436,M,61,M39+,三星,Galaxy Win
438,7497850677598683461,F,23,F23-,金立,S5.5L
439,-3641970131210381534,M,33,M32-38,三星,Galaxy Note 3
440,8522618421597953014,M,28,M27-28,索尼,Xperia Z2
441,-6018160454764528851,F,39,F33-42,语信,小辣椒 M3
442,6788691223026392889,M,29,M29-31,三星,Galaxy Note 4
443,5785252018416191581,M,35,M32-38,三星,Galaxy S4
444,-6739684703749059557,M,43,M39+,华为,Mate 7
445,-5066301088967309406,M,23,M23-26,努比亚,Z5S
446,-3352337094847398864,M,21,M22-,OPPO,R7
447,3050020885746905033,M,21,M22-,小米,MI 3
448,7464518683724727658,F,33,F33-42,小米,红米
449,4977791024608210667,M,31,M29-31,中国移动,M601
450,6824596868855223630,M,44,M39+,三星,Galaxy Note 2
451,-7044168722752090349,M,20,M22-,华为,荣耀3C
452,3344241795823208895,M,24,M23-26,vivo,X3T
453,6703232543519770914,F,60,F43+,三星,Galaxy S4
454,589557985088430288,F,35,F33-42,华为,荣耀畅玩4
455,8946598892027654292,F,29,F29-32,小米,红米note
456,-7083853366829402397,M,29,M29-31,华为,荣耀3X
457,-2001567280649176448,M,29,M29-31,ZUK,Z1
458,646307682968211609,M,24,M23-26,索尼,Xperia Z1
459,-4986392845443402625,F,33,F33-42,小米,MI 2
460,-5487152191347785398,F,44,F43+,华为,8800
461,2662126988550136306,F,78,F43+,三星,Galaxy A5
462,-6630551694025657184,F,29,F29-32,华为,Mate 7
463,7958696823479453960,F,29,F29-32,华为,Mate 7
464,9047713447193243097,M,24,M23-26,华为,荣耀6
465,-4307993308323975261,M,28,M27-28,华为,荣耀畅玩4X
466,5861119094982137442,M,31,M29-31,小米,红米
467,-4377371438971174786,M,31,M29-31,小米,红米
468,-4374356101743562672,M,31,M29-31,小米,红米
469,1442070159850622197,M,29,M29-31,联想,S920
470,1352886169581418887,M,35,M32-38,联想,A768t
471,-1940964897031620305,M,27,M27-28,小米,红米2
472,6019832031671410230,M,24,M23-26,vivo,X5L
473,2048082274046894024,M,24,M23-26,魅族,魅蓝Note3
474,-6032484110824395920,M,24,M23-26,魅族,MX3
475,-1582252749329288852,M,23,M23-26,OPPO,R8205
476,6655529407431740036,M,31,M29-31,vivo,X5L
477,-1474792823754483907,M,30,M29-31,OPPO,R5
478,1029904277495989007,M,30,M29-31,OPPO,R5
479,720756603628213494,M,27,M27-28,瑞米,X7
480,6310961650826747907,F,27,F27-28,小米,MI 2S
481,2407358055337822629,M,27,M27-28,三星,Galaxy Core Max
